"","output"
"1","tf-idf for Get is 4.52178857704904"
"2","tf-idf for your is 1.43074612369072"
"3","tf-idf for chance is 3.13549421592915"
"4","tf-idf for win is 2.57587842799373"
"5","tf-idf for Dave is 3.8286413964891"
"6","tf-idf for Ramsey is 3.8286413964891"
"7","tf-idf for Total is 3.42317628838093"
"8","tf-idf for Money is 3.42317628838093"
"9","tf-idf for Makeover is 3.42317628838093"
"10","tf-idf for kit is 4.52178857704904"
"11","tf-idf for + is 3.42317628838093"
"12","tf-idf for $1,000! is 3.8286413964891"
"13","tf-idf for Enter is 3.42317628838093"
"14","tf-idf for 2/26 is 3.8286413964891"
"15","tf-idf for http://t.co/JF61rRBSO5. is 4.52178857704904"
"16","tf-idf for http://t.co/lPvNOq353x is 4.52178857704904"
"17","tf-idf for You is 0"
"18","tf-idf for could is 0"
"19","tf-idf for win is 0"
"20","tf-idf for @DaveRamsey is 0"
"21","tf-idf for Total is 0"
"22","tf-idf for Money is 0"
"23","tf-idf for Makeover is 0"
"24","tf-idf for &amp; is 0"
"25","tf-idf for $1000! is 0"
"26","tf-idf for Enter is 0"
"27","tf-idf for 2/26 is 0"
"28","tf-idf for your is 0"
"29","tf-idf for chance is 0"
"30","tf-idf for #WinWithKasasa. is 0"
"31","tf-idf for Steps: is 0"
"32","tf-idf for http://t.co/28UMYzocfa is 0"
"33","tf-idf for You is 0"
"34","tf-idf for could is 0"
"35","tf-idf for win is 0"
"36","tf-idf for Total is 0"
"37","tf-idf for Money is 0"
"38","tf-idf for Makeover is 0"
"39","tf-idf for kit, is 0"
"40","tf-idf for trip is 0"
"41","tf-idf for see is 0"
"42","tf-idf for Dave is 0"
"43","tf-idf for Ramsey is 0"
"44","tf-idf for &amp; is 0"
"45","tf-idf for $1,000! is 0"
"46","tf-idf for Enter is 0"
"47","tf-idf for 2/26: is 0"
"48","tf-idf for http://t.co/JF61rRBSO5 is 0"
"49","tf-idf for http://t.co/ZV5IHG2WuR is 0"
"50","tf-idf for Can is 0"
"51","tf-idf for Luke is 0"
"52","tf-idf for Hancock is 0"
"53","tf-idf for collect is 0"
"54","tf-idf for his is 0"
"55","tf-idf for 3rd is 0"
"56","tf-idf for straight is 0"
"57","tf-idf for 20 is 0"
"58","tf-idf for point is 0"
"59","tf-idf for game is 0"
"60","tf-idf for L'ville is 0"
"61","tf-idf for vs is 0"
"62","tf-idf for Houston?Find is 0"
"63","tf-idf for out is 0"
"64","tf-idf for @7p is 0"
"65","tf-idf for ET is 0"
"66","tf-idf for http://t.co/Nbujkr3K4G is 0"
"67","tf-idf for http://t.co/0SZsKl0EBf is 0"
"68","tf-idf for Can is 0"
"69","tf-idf for Luke is 0"
"70","tf-idf for Hancock is 0"
"71","tf-idf for collect is 0"
"72","tf-idf for his is 0"
"73","tf-idf for 3rd is 0"
"74","tf-idf for straight is 0"
"75","tf-idf for 20 is 0"
"76","tf-idf for point is 0"
"77","tf-idf for game is 0"
"78","tf-idf for L'ville is 0"
"79","tf-idf for vs is 0"
"80","tf-idf for Houston?Find is 0"
"81","tf-idf for out is 0"
"82","tf-idf for @7p is 0"
"83","tf-idf for ET is 0"
"84","tf-idf for http://t.co/Nbujkr3K4G is 0"
"85","tf-idf for http://t.co/ChjOXM73A1 is 0"
"86","tf-idf for Don't is 0"
"87","tf-idf for miss is 0"
"88","tf-idf for our is 0"
"89","tf-idf for All is 0"
"90","tf-idf for Access is 0"
"91","tf-idf for Audio is 0"
"92","tf-idf for game is 0"
"93","tf-idf for between is 0"
"94","tf-idf for @NovaMBB is 0"
"95","tf-idf for &amp; is 0"
"96","tf-idf for @SetonHallMBB is 0"
"97","tf-idf for 7 is 0"
"98","tf-idf for PM is 0"
"99","tf-idf for ET. is 0"
"100","tf-idf for http://t.co/9tOiAUpbrl is 0"
"101","tf-idf for Fans is 0"
"102","tf-idf for can is 0"
"103","tf-idf for see is 0"
"104","tf-idf for where is 0"
"105","tf-idf for enjoy is 0"
"106","tf-idf for our is 0"
"107","tf-idf for @NovaMBB is 0"
"108","tf-idf for @SetonHallMBB is 0"
"109","tf-idf for All is 0"
"110","tf-idf for Access is 0"
"111","tf-idf for Audio is 0"
"112","tf-idf for game is 0"
"113","tf-idf for using is 0"
"114","tf-idf for our is 0"
"115","tf-idf for channel is 0"
"116","tf-idf for finder: is 0"
"117","tf-idf for http://t.co/PJuezKEwWQ is 0"
"118","tf-idf for Fans is 0"
"119","tf-idf for in is 0"
"120","tf-idf for @GoCards is 0"
"121","tf-idf for area is 0"
"122","tf-idf for can is 0"
"123","tf-idf for watch is 0"
"124","tf-idf for game is 0"
"125","tf-idf for on is 0"
"126","tf-idf for these is 0"
"127","tf-idf for channels: is 0"
"128","tf-idf for DIRECTV is 0"
"129","tf-idf for 221 is 0"
"130","tf-idf for Dish is 0"
"131","tf-idf for 158 is 0"
"132","tf-idf for AT&amp;T is 0"
"133","tf-idf for U-verse is 0"
"134","tf-idf for 1643 is 0"
"135","tf-idf for Time is 0"
"136","tf-idf for Warner is 0"
"137","tf-idf for 968 is 0"
"138","tf-idf for #UofL is 0"
"139","tf-idf for #L1C4 is 0"
"140","tf-idf for Fans is 0"
"141","tf-idf for in is 0"
"142","tf-idf for L'ville is 0"
"143","tf-idf for area is 0"
"144","tf-idf for can is 0"
"145","tf-idf for watch is 0"
"146","tf-idf for game is 0"
"147","tf-idf for Here: is 0"
"148","tf-idf for DIRECTV is 0"
"149","tf-idf for 221 is 0"
"150","tf-idf for Dish is 0"
"151","tf-idf for 158 is 0"
"152","tf-idf for AT&amp;T is 0"
"153","tf-idf for U-verse is 0"
"154","tf-idf for 1643 is 0"
"155","tf-idf for Time is 0"
"156","tf-idf for Warner is 0"
"157","tf-idf for 968 is 0"
"158","tf-idf for #UofL is 0"
"159","tf-idf for #L1C4 is 0"
"160","tf-idf for http://t.co/FJdwQLmEvx is 0"
"161","tf-idf for Fans is 0"
"162","tf-idf for in is 0"
"163","tf-idf for L'ville is 0"
"164","tf-idf for area is 0"
"165","tf-idf for can is 0"
"166","tf-idf for watch is 0"
"167","tf-idf for game is 0"
"168","tf-idf for Here: is 0"
"169","tf-idf for DIRECTV is 0"
"170","tf-idf for 221 is 0"
"171","tf-idf for Dish is 0"
"172","tf-idf for 158 is 0"
"173","tf-idf for AT&amp;T is 0"
"174","tf-idf for U-verse is 0"
"175","tf-idf for 1643 is 0"
"176","tf-idf for Time is 0"
"177","tf-idf for Warner is 0"
"178","tf-idf for 968 is 0"
"179","tf-idf for #UofL is 0"
"180","tf-idf for #L1C5 is 0"
"181","tf-idf for http://t.co/dvwFA6mryE is 0"
"182","tf-idf for Houston is 0"
"183","tf-idf for Fans is 0"
"184","tf-idf for tune-in is 0"
"185","tf-idf for game is 0"
"186","tf-idf for here: is 0"
"187","tf-idf for AT&amp;T is 0"
"188","tf-idf for U-verse is 0"
"189","tf-idf for 1643 is 0"
"190","tf-idf for Comcast is 0"
"191","tf-idf for 706 is 0"
"192","tf-idf for DIRECTV is 0"
"193","tf-idf for 221 is 0"
"194","tf-idf for DISH is 0"
"195","tf-idf for 158 is 0"
"196","tf-idf for UH is 0"
"197","tf-idf for 84 is 0"
"198","tf-idf for Wavevision is 0"
"199","tf-idf for 623 is 0"
"200","tf-idf for http://t.co/w9baI2tNRk is 0"
"201","tf-idf for Our is 0"
"202","tf-idf for All is 0"
"203","tf-idf for Access is 0"
"204","tf-idf for Audio is 0"
"205","tf-idf for courtside is 0"
"206","tf-idf for experience is 0"
"207","tf-idf for begins is 0"
"208","tf-idf for 7 is 0"
"209","tf-idf for PM is 0"
"210","tf-idf for ET is 0"
"211","tf-idf for with is 0"
"212","tf-idf for @NovaMBB is 0"
"213","tf-idf for battling is 0"
"214","tf-idf for @SetonHallMBB is 0"
"215","tf-idf for http://t.co/blNLj9XO4V is 0"
"216","tf-idf for Our is 0"
"217","tf-idf for All is 0"
"218","tf-idf for Access is 0"
"219","tf-idf for Audio is 0"
"220","tf-idf for courtside is 0"
"221","tf-idf for experience is 0"
"222","tf-idf for begins is 0"
"223","tf-idf for 7PM is 0"
"224","tf-idf for ET is 0"
"225","tf-idf for w/ is 0"
"226","tf-idf for @NovaMBB is 0"
"227","tf-idf for battling is 0"
"228","tf-idf for @SetonHallMBB is 0"
"229","tf-idf for http://t.co/45UTgGwyYk is 0"
"230","tf-idf for Our is 0"
"231","tf-idf for All-Access is 0"
"232","tf-idf for Audio is 0"
"233","tf-idf for game is 0"
"234","tf-idf for - is 0"
"235","tf-idf for @NovaMBB is 0"
"236","tf-idf for vs is 0"
"237","tf-idf for @SetonHallMBB is 0"
"238","tf-idf for tips is 0"
"239","tf-idf for 7ET. is 0"
"240","tf-idf for We is 0"
"241","tf-idf for have is 0"
"242","tf-idf for 30 is 0"
"243","tf-idf for court is 0"
"244","tf-idf for level is 0"
"245","tf-idf for mics is 0"
"246","tf-idf for providing is 0"
"247","tf-idf for sound is 0"
"248","tf-idf for from is 0"
"249","tf-idf for coaches, is 0"
"250","tf-idf for players is 0"
"251","tf-idf for + is 0"
"252","tf-idf for refs is 0"
"253","tf-idf for RT is 0"
"254","tf-idf for @HoopsonCBS: is 0"
"255","tf-idf for 7:52 is 0"
"256","tf-idf for left is 0"
"257","tf-idf for on is 0"
"258","tf-idf for @CBSSportsNet is 0"
"259","tf-idf for @GoCards is 0"
"260","tf-idf for continue is 0"
"261","tf-idf for dominate is 0"
"262","tf-idf for Houston, is 0"
"263","tf-idf for 73-39. is 0"
"264","tf-idf for Russ is 0"
"265","tf-idf for Smith is 0"
"266","tf-idf for leads is 0"
"267","tf-idf for all is 0"
"268","tf-idf for scorers is 0"
"269","tf-idf for with is 0"
"270","tf-idf for 18 is 0"
"271","tf-idf for points is 0"
"272","tf-idf for fo… is 0"
"273","tf-idf for RT is 0"
"274","tf-idf for @HoopsonCBS: is 0"
"275","tf-idf for FINAL: is 0"
"276","tf-idf for No. is 0"
"277","tf-idf for 8 is 0"
"278","tf-idf for @NovaMBB is 0"
"279","tf-idf for take is 0"
"280","tf-idf for down is 0"
"281","tf-idf for Seton is 0"
"282","tf-idf for Hall is 0"
"283","tf-idf for 83-67 is 0"
"284","tf-idf for improve is 0"
"285","tf-idf for 3-0 is 0"
"286","tf-idf for in is 0"
"287","tf-idf for @bigeastconf is 0"
"288","tf-idf for while is 0"
"289","tf-idf for shooting is 0"
"290","tf-idf for 55% is 0"
"291","tf-idf for from is 0"
"292","tf-idf for beyond is 0"
"293","tf-idf for a… is 0"
"294","tf-idf for RT is 0"
"295","tf-idf for @HoopsonCBS: is 0"
"296","tf-idf for FINAL: is 0"
"297","tf-idf for Russ is 0"
"298","tf-idf for Smith is 0"
"299","tf-idf for Luke is 0"
"300","tf-idf for Hancock is 0"
"301","tf-idf for both is 0"
"302","tf-idf for score is 0"
"303","tf-idf for 23 is 0"
"304","tf-idf for points is 0"
"305","tf-idf for lead is 0"
"306","tf-idf for @GoCards is 0"
"307","tf-idf for 71-63 is 0"
"308","tf-idf for win is 0"
"309","tf-idf for over is 0"
"310","tf-idf for #SMU is 0"
"311","tf-idf for improve is 0"
"312","tf-idf for 14-3 is 0"
"313","tf-idf for #L1C4 is 0"
"314","tf-idf for RT is 0"
"315","tf-idf for @HoopsonCBS: is 0"
"316","tf-idf for HALFTIME is 0"
"317","tf-idf for on is 0"
"318","tf-idf for @CBSSportsNet is 0"
"319","tf-idf for : is 0"
"320","tf-idf for @GoCards is 0"
"321","tf-idf for controlling is 0"
"322","tf-idf for Houston is 0"
"323","tf-idf for with is 0"
"324","tf-idf for 57-28 is 0"
"325","tf-idf for lead is 0"
"326","tf-idf for as is 0"
"327","tf-idf for #UofL is 0"
"328","tf-idf for sets is 0"
"329","tf-idf for season-high is 0"
"330","tf-idf for points is 0"
"331","tf-idf for in is 0"
"332","tf-idf for 1st is 0"
"333","tf-idf for … is 0"
"334","tf-idf for RT is 0"
"335","tf-idf for @HoopsonCBS: is 0"
"336","tf-idf for HALFTIME: is 0"
"337","tf-idf for @GoCards is 0"
"338","tf-idf for up is 0"
"339","tf-idf for 37-25 is 0"
"340","tf-idf for over is 0"
"341","tf-idf for #SMU is 0"
"342","tf-idf for break. is 0"
"343","tf-idf for Every is 0"
"344","tf-idf for #UofL is 0"
"345","tf-idf for starter is 0"
"346","tf-idf for has is 0"
"347","tf-idf for scored is 0"
"348","tf-idf for but is 0"
"349","tf-idf for it's is 0"
"350","tf-idf for been is 0"
"351","tf-idf for Russ is 0"
"352","tf-idf for Smith is 0"
"353","tf-idf for leading is 0"
"354","tf-idf for way… is 0"
"355","tf-idf for RT is 0"
"356","tf-idf for @HoopsonCBS: is 0"
"357","tf-idf for Russ is 0"
"358","tf-idf for Smith is 0"
"359","tf-idf for &amp; is 0"
"360","tf-idf for Nic is 0"
"361","tf-idf for Moore's is 0"
"362","tf-idf for team is 0"
"363","tf-idf for battle! is 0"
"364","tf-idf for @GoCards is 0"
"365","tf-idf for hosts is 0"
"366","tf-idf for @SMUBasketball is 0"
"367","tf-idf for 1PM is 0"
"368","tf-idf for ET is 0"
"369","tf-idf for on is 0"
"370","tf-idf for @CBSSportsNet is 0"
"371","tf-idf for http://t.co/gtT6lZpkUb is 0"
"372","tf-idf for Remember is 0"
"373","tf-idf for follow is 0"
"374","tf-idf for @HoopsonCBS is 0"
"375","tf-idf for updates is 0"
"376","tf-idf for on is 0"
"377","tf-idf for @GoCards is 0"
"378","tf-idf for vs. is 0"
"379","tf-idf for @RutgersMBB is 0"
"380","tf-idf for our is 0"
"381","tf-idf for games is 0"
"382","tf-idf for through is 0"
"383","tf-idf for season! is 0"
"384","tf-idf for #UofL is 0"
"385","tf-idf for #RHoops is 0"
"386","tf-idf for Russ is 0"
"387","tf-idf for Smith is 0"
"388","tf-idf for &amp; is 0"
"389","tf-idf for Nic is 0"
"390","tf-idf for Moore is 0"
"391","tf-idf for lead is 0"
"392","tf-idf for their is 0"
"393","tf-idf for teams is 0"
"394","tf-idf for into is 0"
"395","tf-idf for battle! is 0"
"396","tf-idf for L'ville is 0"
"397","tf-idf for vs is 0"
"398","tf-idf for SMU is 0"
"399","tf-idf for @ is 0"
"400","tf-idf for 1PM is 0"
"401","tf-idf for ET. is 0"
"402","tf-idf for Channel is 0"
"403","tf-idf for finder: is 0"
"404","tf-idf for http://t.co/sbs3NgFb09 is 0"
"405","tf-idf for http://t.co/tI8rZP88uZ is 0"
"406","tf-idf for Which is 0"
"407","tf-idf for star is 0"
"408","tf-idf for will is 0"
"409","tf-idf for come is 0"
"410","tf-idf for out is 0"
"411","tf-idf for on is 0"
"412","tf-idf for top: is 0"
"413","tf-idf for L'Ville is 0"
"414","tf-idf for Russ is 0"
"415","tf-idf for Smith is 0"
"416","tf-idf for or is 0"
"417","tf-idf for Houston's is 0"
"418","tf-idf for TaShawn is 0"
"419","tf-idf for Thomas? is 0"
"420","tf-idf for Watch is 0"
"421","tf-idf for @7p is 0"
"422","tf-idf for ET. is 0"
"423","tf-idf for http://t.co/Cbf6ZZ9Mm7 is 0"
"424","tf-idf for http://t.co/xqHkjdHi9t is 0"
"425","tf-idf for #BeckhamforHM is 0"
"426","tf-idf for is is 0"
"427","tf-idf for being is 0"
"428","tf-idf for revealed is 0"
"429","tf-idf for in is 0"
"430","tf-idf for big is 0"
"431","tf-idf for game. is 0"
"432","tf-idf for Did is 0"
"433","tf-idf for you is 0"
"434","tf-idf for choose is 0"
"435","tf-idf for #Covered is 0"
"436","tf-idf for or is 0"
"437","tf-idf for #Uncovered? is 0"
"438","tf-idf for http://t.co/5kdRGYtvLP is 0"
"439","tf-idf for A is 0"
"440","tf-idf for post is 0"
"441","tf-idf for halftime is 0"
"442","tf-idf for show is 0"
"443","tf-idf for pick is 0"
"444","tf-idf for me is 0"
"445","tf-idf for up! is 0"
"446","tf-idf for Check is 0"
"447","tf-idf for out is 0"
"448","tf-idf for our is 0"
"449","tf-idf for #SB48 is 0"
"450","tf-idf for big is 0"
"451","tf-idf for game is 0"
"452","tf-idf for playlist is 0"
"453","tf-idf for on is 0"
"454","tf-idf for @Spotify. is 0"
"455","tf-idf for  is 0"
"456","tf-idf for http://t.co/6Jp30UMyqq is 0"
"457","tf-idf for #NowPlaying is 0"
"458","tf-idf for Boxers, is 0"
"459","tf-idf for briefs is 0"
"460","tf-idf for or is 0"
"461","tf-idf for long is 0"
"462","tf-idf for johns. is 0"
"463","tf-idf for Who’s is 0"
"464","tf-idf for watching is 0"
"465","tf-idf for Super is 0"
"466","tf-idf for Bowl is 0"
"467","tf-idf for in is 0"
"468","tf-idf for #BeckhamforHM? is 0"
"469","tf-idf for http://t.co/DgvmmArk0v is 0"
"470","tf-idf for http://t.co/KNpkbgRJMO is 0"
"471","tf-idf for Choose is 0"
"472","tf-idf for your is 0"
"473","tf-idf for favorite is 0"
"474","tf-idf for #BeckhamforHM is 0"
"475","tf-idf for Super is 0"
"476","tf-idf for Bowl is 0"
"477","tf-idf for ad! is 0"
"478","tf-idf for Vote is 0"
"479","tf-idf for #covered is 0"
"480","tf-idf for or is 0"
"481","tf-idf for #uncovered: is 0"
"482","tf-idf for http://t.co/DDwRJ9rRDF is 0"
"483","tf-idf for http://t.co/ZY4Lj6Pk8X is 0"
"484","tf-idf for Coming is 0"
"485","tf-idf for soon is 0"
"486","tf-idf for your is 0"
"487","tf-idf for TV is 0"
"488","tf-idf for screen...#BeckhamforHM is 0"
"489","tf-idf for http://t.co/ViGwpHnCtu is 0"
"490","tf-idf for Heading is 0"
"491","tf-idf for Super is 0"
"492","tf-idf for Bowl is 0"
"493","tf-idf for party? is 0"
"494","tf-idf for We is 0"
"495","tf-idf for want is 0"
"496","tf-idf for see is 0"
"497","tf-idf for your is 0"
"498","tf-idf for game is 0"
"499","tf-idf for day is 0"
"500","tf-idf for outfits. is 0"
"501","tf-idf for Share is 0"
"502","tf-idf for w. is 0"
"503","tf-idf for #SB48Party. is 0"
"504","tf-idf for We'll is 0"
"505","tf-idf for RT is 0"
"506","tf-idf for our is 0"
"507","tf-idf for faves! is 0"
"508","tf-idf for Instant is 0"
"509","tf-idf for Replay! is 0"
"510","tf-idf for #BeckhamforHM is 0"
"511","tf-idf for #uncovered is 0"
"512","tf-idf for http://t.co/16ZM31F7SC is 0"
"513","tf-idf for Style is 0"
"514","tf-idf for your is 0"
"515","tf-idf for #SB48! is 0"
"516","tf-idf for Take is 0"
"517","tf-idf for 30% is 0"
"518","tf-idf for off is 0"
"519","tf-idf for online is 0"
"520","tf-idf for with is 0"
"521","tf-idf for code is 0"
"522","tf-idf for 4848 is 0"
"523","tf-idf for all is 0"
"524","tf-idf for weekend is 0"
"525","tf-idf for long. is 0"
"526","tf-idf for http://t.co/9vnbexKpoC is 0"
"527","tf-idf for Team is 0"
"528","tf-idf for colors, is 0"
"529","tf-idf for check! is 0"
"530","tf-idf for Chips is 0"
"531","tf-idf for &amp; is 0"
"532","tf-idf for dip, is 0"
"533","tf-idf for check! is 0"
"534","tf-idf for Lucky is 0"
"535","tf-idf for boxers, is 0"
"536","tf-idf for check! is 0"
"537","tf-idf for We're is 0"
"538","tf-idf for ready is 0"
"539","tf-idf for big is 0"
"540","tf-idf for game. is 0"
"541","tf-idf for #BeckhamforHM is 0"
"542","tf-idf for http://t.co/MnNZqXjq3F is 0"
"543","tf-idf for The is 0"
"544","tf-idf for best is 0"
"545","tf-idf for thing is 0"
"546","tf-idf for you'll is 0"
"547","tf-idf for see is 0"
"548","tf-idf for all is 0"
"549","tf-idf for night: is 0"
"550","tf-idf for http://t.co/16ZM31F7SC is 0"
"551","tf-idf for #BeckhamforHM is 0"
"552","tf-idf for http://t.co/Df5csLp18j is 0"
"553","tf-idf for We're is 0"
"554","tf-idf for falling is 0"
"555","tf-idf for in is 0"
"556","tf-idf for love is 0"
"557","tf-idf for with is 0"
"558","tf-idf for fashion! is 0"
"559","tf-idf for Make is 0"
"560","tf-idf for your is 0"
"561","tf-idf for #ValentinesDay is 0"
"562","tf-idf for even is 0"
"563","tf-idf for sweeter is 0"
"564","tf-idf for with is 0"
"565","tf-idf for H&amp;M. is 0"
"566","tf-idf for http://t.co/TtyTLTHCKO is 0"
"567","tf-idf for http://t.co/nfxpBK25xK is 0"
"568","tf-idf for Dir. is 0"
"569","tf-idf for of is 0"
"570","tf-idf for Social is 0"
"571","tf-idf for Stephen is 0"
"572","tf-idf for Blake is 0"
"573","tf-idf for writes is 0"
"574","tf-idf for why is 0"
"575","tf-idf for you is 0"
"576","tf-idf for should is 0"
"577","tf-idf for be is 0"
"578","tf-idf for using is 0"
"579","tf-idf for Promoted is 0"
"580","tf-idf for Accounts is 0"
"581","tf-idf for in is 0"
"582","tf-idf for @twitter is 0"
"583","tf-idf for Timeline: is 0"
"584","tf-idf for http://t.co/owRC4iMpTM is 0"
"585","tf-idf for @Something_found is 0"
"586","tf-idf for A is 0"
"587","tf-idf for TD is 0"
"588","tf-idf for means is 0"
"589","tf-idf for his is 0"
"590","tf-idf for team is 0"
"591","tf-idf for gives is 0"
"592","tf-idf for him is 0"
"593","tf-idf for @Skittles! is 0"
"594","tf-idf for I is 0"
"595","tf-idf for enjoy is 0"
"596","tf-idf for any is 0"
"597","tf-idf for #SB48 is 0"
"598","tf-idf for TD is 0"
"599","tf-idf for celebration is 0"
"600","tf-idf for that's is 0"
"601","tf-idf for this is 0"
"602","tf-idf for colorful! is 0"
"603","tf-idf for https://t.co/3CVfEq1xON is 0"
"604","tf-idf for #mmscolorcommentary is 0"
"605","tf-idf for Ah, is 0"
"606","tf-idf for just is 0"
"607","tf-idf for another is 0"
"608","tf-idf for #ManCandyMonday is 0"
"609","tf-idf for mansion. is 0"
"610","tf-idf for Check is 0"
"611","tf-idf for out is 0"
"612","tf-idf for this is 0"
"613","tf-idf for clip is 0"
"614","tf-idf for of is 0"
"615","tf-idf for me is 0"
"616","tf-idf for &amp; is 0"
"617","tf-idf for @JuanPaGalavis is 0"
"618","tf-idf for on is 0"
"619","tf-idf for #TheBachelor! is 0"
"620","tf-idf for http://t.co/TghEhUOEwX is 0"
"621","tf-idf for Congrats is 0"
"622","tf-idf for @CityofSeattle is 0"
"623","tf-idf for on is 0"
"624","tf-idf for winning is 0"
"625","tf-idf for #SB48! is 0"
"626","tf-idf for What is 0"
"627","tf-idf for sweet is 0"
"628","tf-idf for victory! is 0"
"629","tf-idf for https://t.co/NrJ3bYMUEe is 0"
"630","tf-idf for Found is 0"
"631","tf-idf for this is 0"
"632","tf-idf for alarming is 0"
"633","tf-idf for tape is 0"
"634","tf-idf for in is 0"
"635","tf-idf for Yellow’s is 0"
"636","tf-idf for video is 0"
"637","tf-idf for camera. is 0"
"638","tf-idf for Has is 0"
"639","tf-idf for anyone is 0"
"640","tf-idf for seen is 0"
"641","tf-idf for that is 0"
"642","tf-idf for crazy is 0"
"643","tf-idf for nut? is 0"
"644","tf-idf for - is 0"
"645","tf-idf for Red is 0"
"646","tf-idf for http://t.co/lOPMyrRMhX is 0"
"647","tf-idf for Sunday is 0"
"648","tf-idf for @JoeMontana is 0"
"649","tf-idf for + is 0"
"650","tf-idf for I is 0"
"651","tf-idf for are is 0"
"652","tf-idf for calling is 0"
"653","tf-idf for #SB48 is 0"
"654","tf-idf for live is 0"
"655","tf-idf for in is 0"
"656","tf-idf for videos is 0"
"657","tf-idf for like is 0"
"658","tf-idf for this! is 0"
"659","tf-idf for Joe is 0"
"660","tf-idf for says is 0"
"661","tf-idf for expect is 0"
"662","tf-idf for fireworks. is 0"
"663","tf-idf for Cool, is 0"
"664","tf-idf for I is 0"
"665","tf-idf for love is 0"
"666","tf-idf for colors! is 0"
"667","tf-idf for http://t.co/GJheq0jcQy is 0"
"668","tf-idf for The is 0"
"669","tf-idf for suspense is 0"
"670","tf-idf for is is 0"
"671","tf-idf for over! is 0"
"672","tf-idf for Check is 0"
"673","tf-idf for out is 0"
"674","tf-idf for my is 0"
"675","tf-idf for big is 0"
"676","tf-idf for #SB48 is 0"
"677","tf-idf for debut: is 0"
"678","tf-idf for http://t.co/t6QuJrVbe0 is 0"
"679","tf-idf for Who's is 0"
"680","tf-idf for ready is 0"
"681","tf-idf for some is 0"
"682","tf-idf for #ManCandyMonday? is 0"
"683","tf-idf for RT is 0"
"684","tf-idf for if is 0"
"685","tf-idf for you're is 0"
"686","tf-idf for watching is 0"
"687","tf-idf for second is 0"
"688","tf-idf for night is 0"
"689","tf-idf for of is 0"
"690","tf-idf for ABC's is 0"
"691","tf-idf for #TheBachelor is 0"
"692","tf-idf for premiere! is 0"
"693","tf-idf for http://t.co/tIbuz6V4Em is 0"
"694","tf-idf for Who’s is 0"
"695","tf-idf for real is 0"
"696","tf-idf for Man is 0"
"697","tf-idf for Candy is 0"
"698","tf-idf for #TheBachelor is 0"
"699","tf-idf for mansion, is 0"
"700","tf-idf for me is 0"
"701","tf-idf for or is 0"
"702","tf-idf for @JuanPaGalavis? is 0"
"703","tf-idf for Watch is 0"
"704","tf-idf for this is 0"
"705","tf-idf for #ManCandyMonday is 0"
"706","tf-idf for clip is 0"
"707","tf-idf for &amp; is 0"
"708","tf-idf for tell is 0"
"709","tf-idf for us! is 0"
"710","tf-idf for http://t.co/XBOSuMYzzi is 0"
"711","tf-idf for Caribbean is 0"
"712","tf-idf for Cruises. is 0"
"713","tf-idf for Sign is 0"
"714","tf-idf for up is 0"
"715","tf-idf for get is 0"
"716","tf-idf for great is 0"
"717","tf-idf for offers is 0"
"718","tf-idf for on is 0"
"719","tf-idf for our is 0"
"720","tf-idf for Caribbean is 0"
"721","tf-idf for vacations is 0"
