"","output"
"722","tf-idf for latest is 0"
"723","tf-idf for cruise is 0"
"724","tf-idf for offers. is 0"
"725","tf-idf for  is 0"
"726","tf-idf for https://t.co/ImyfHeYXkK is 0"
"727","tf-idf for Last is 0"
"728","tf-idf for minute is 0"
"729","tf-idf for cruise is 0"
"730","tf-idf for deals is 0"
"731","tf-idf for cruise is 0"
"732","tf-idf for vacation is 0"
"733","tf-idf for specials. is 0"
"734","tf-idf for Sign is 0"
"735","tf-idf for up is 0"
"736","tf-idf for get is 0"
"737","tf-idf for more is 0"
"738","tf-idf for information!
 is 0"
"739","tf-idf for https://t.co/Kd4R1ol5xl is 0"
"740","tf-idf for Need is 0"
"741","tf-idf for #UltimateGetaway? is 0"
"742","tf-idf for Sign is 0"
"743","tf-idf for up is 0"
"744","tf-idf for get is 0"
"745","tf-idf for info is 0"
"746","tf-idf for on is 0"
"747","tf-idf for last is 0"
"748","tf-idf for minute is 0"
"749","tf-idf for cruise is 0"
"750","tf-idf for deals is 0"
"751","tf-idf for cruise is 0"
"752","tf-idf for vacation is 0"
"753","tf-idf for specials. is 0"
"754","tf-idf for  is 0"
"755","tf-idf for https://t.co/mS7XCVnyjw is 0"
"756","tf-idf for Need is 0"
"757","tf-idf for tropical is 0"
"758","tf-idf for vacation? is 0"
"759","tf-idf for Sign is 0"
"760","tf-idf for up is 0"
"761","tf-idf for get is 0"
"762","tf-idf for inside is 0"
"763","tf-idf for scoop is 0"
"764","tf-idf for on is 0"
"765","tf-idf for our is 0"
"766","tf-idf for Caribbean is 0"
"767","tf-idf for Cruises is 0"
"768","tf-idf for specials. is 0"
"769","tf-idf for https://t.co/Kd4R1ol5xl is 0"
"770","tf-idf for Sign is 0"
"771","tf-idf for up is 0"
"772","tf-idf for get is 0"
"773","tf-idf for inside is 0"
"774","tf-idf for scoop is 0"
"775","tf-idf for be is 0"
"776","tf-idf for first is 0"
"777","tf-idf for know is 0"
"778","tf-idf for about is 0"
"779","tf-idf for our is 0"
"780","tf-idf for latest is 0"
"781","tf-idf for cruise is 0"
"782","tf-idf for offers. is 0"
"783","tf-idf for  is 0"
"784","tf-idf for https://t.co/ImyfHeYXkK is 0"
"785","tf-idf for Sign is 0"
"786","tf-idf for up is 0"
"787","tf-idf for get is 0"
"788","tf-idf for inside is 0"
"789","tf-idf for scoop is 0"
"790","tf-idf for be is 0"
"791","tf-idf for first is 0"
"792","tf-idf for know is 0"
"793","tf-idf for about is 0"
"794","tf-idf for our is 0"
"795","tf-idf for latest is 0"
"796","tf-idf for cruise is 0"
"797","tf-idf for offers. is 0"
"798","tf-idf for https://t.co/H30UrOa3K8 is 0"
"799","tf-idf for Which is 0"
"800","tf-idf for cruise is 0"
"801","tf-idf for suits is 0"
"802","tf-idf for you? is 0"
"803","tf-idf for Sign is 0"
"804","tf-idf for up is 0"
"805","tf-idf for get is 0"
"806","tf-idf for inside is 0"
"807","tf-idf for scoop is 0"
"808","tf-idf for on is 0"
"809","tf-idf for our is 0"
"810","tf-idf for hottest is 0"
"811","tf-idf for cruise is 0"
"812","tf-idf for destinations is 0"
"813","tf-idf for specials. is 0"
"814","tf-idf for https://t.co/5345q6Cvdk is 0"
"815","tf-idf for Which is 0"
"816","tf-idf for cruise is 0"
"817","tf-idf for suits is 0"
"818","tf-idf for you? is 0"
"819","tf-idf for Sign is 0"
"820","tf-idf for up is 0"
"821","tf-idf for get is 0"
"822","tf-idf for inside is 0"
"823","tf-idf for scoop is 0"
"824","tf-idf for on is 0"
"825","tf-idf for our is 0"
"826","tf-idf for hottest is 0"
"827","tf-idf for cruise is 0"
"828","tf-idf for destinations is 0"
"829","tf-idf for specials. is 0"
"830","tf-idf for https://t.co/Kd4R1ol5xl is 0"
"831","tf-idf for Which is 0"
"832","tf-idf for cruise is 0"
"833","tf-idf for suits is 0"
"834","tf-idf for you? is 0"
"835","tf-idf for Sign is 0"
"836","tf-idf for up is 0"
"837","tf-idf for get is 0"
"838","tf-idf for inside is 0"
"839","tf-idf for scoop is 0"
"840","tf-idf for on is 0"
"841","tf-idf for our is 0"
"842","tf-idf for hottest is 0"
"843","tf-idf for cruise is 0"
"844","tf-idf for destinations is 0"
"845","tf-idf for specials. is 0"
"846","tf-idf for https://t.co/tcxNB4Vzp8 is 0"
"847","tf-idf for We've is 0"
"848","tf-idf for recently is 0"
"849","tf-idf for opened is 0"
"850","tf-idf for our is 0"
"851","tf-idf for new is 0"
"852","tf-idf for store is 0"
"853","tf-idf for West is 0"
"854","tf-idf for Edmonton is 0"
"855","tf-idf for Mall is 0"
"856","tf-idf for in is 0"
"857","tf-idf for Edmonton, is 0"
"858","tf-idf for AB! is 0"
"859","tf-idf for Visit is 0"
"860","tf-idf for us is 0"
"861","tf-idf for today. is 0"
"862","tf-idf for http://t.co/GbvyydomRX is 0"
"863","tf-idf for We've is 0"
"864","tf-idf for recently is 0"
"865","tf-idf for opened is 0"
"866","tf-idf for our is 0"
"867","tf-idf for new is 0"
"868","tf-idf for store is 0"
"869","tf-idf for Willowbrook is 0"
"870","tf-idf for Mall is 0"
"871","tf-idf for in is 0"
"872","tf-idf for Wayne, is 0"
"873","tf-idf for NJ! is 0"
"874","tf-idf for Visit is 0"
"875","tf-idf for us is 0"
"876","tf-idf for today. is 0"
"877","tf-idf for http://t.co/1j9h1P3eAY is 0"
"878","tf-idf for #UnShameYourPet is 0"
"879","tf-idf for with is 0"
"880","tf-idf for PetProtect™, is 0"
"881","tf-idf for carpet is 0"
"882","tf-idf for system is 0"
"883","tf-idf for designed is 0"
"884","tf-idf for pet is 0"
"885","tf-idf for owners. is 0"
"886","tf-idf for Follow is 0"
"887","tf-idf for STAINMASTER® is 0"
"888","tf-idf for today is 0"
"889","tf-idf for learn is 0"
"890","tf-idf for more! is 0"
"891","tf-idf for Add is 0"
"892","tf-idf for warmth is 0"
"893","tf-idf for any is 0"
"894","tf-idf for room is 0"
"895","tf-idf for this is 0"
"896","tf-idf for winter is 0"
"897","tf-idf for with is 0"
"898","tf-idf for STAINMASTER® is 0"
"899","tf-idf for carpet. is 0"
"900","tf-idf for Follow is 0"
"901","tf-idf for us is 0"
"902","tf-idf for today is 0"
"903","tf-idf for carpet is 0"
"904","tf-idf for solutions is 0"
"905","tf-idf for add is 0"
"906","tf-idf for comfort is 0"
"907","tf-idf for your is 0"
"908","tf-idf for home. is 0"
"909","tf-idf for Butter, is 0"
"910","tf-idf for wine is 0"
"911","tf-idf for gum, is 0"
"912","tf-idf for oh is 0"
"913","tf-idf for my. is 0"
"914","tf-idf for Accidents is 0"
"915","tf-idf for happen, is 0"
"916","tf-idf for we is 0"
"917","tf-idf for can is 0"
"918","tf-idf for help! is 0"
"919","tf-idf for Stain is 0"
"920","tf-idf for Removal is 0"
"921","tf-idf for Tips: is 0"
"922","tf-idf for http://t.co/sPrEUrzW7l is 0"
"923","tf-idf for Can't is 0"
"924","tf-idf for catch is 0"
"925","tf-idf for them is 0"
"926","tf-idf for in is 0"
"927","tf-idf for act? is 0"
"928","tf-idf for #UnShameYourPet is 0"
"929","tf-idf for with is 0"
"930","tf-idf for STAINMASTER® is 0"
"931","tf-idf for PetProtect™ is 0"
"932","tf-idf for carpet. is 0"
"933","tf-idf for http://t.co/YeXj5yUtro is 0"
"934","tf-idf for http://t.co/39JdDsBdG4 is 0"
"935","tf-idf for Carpet is 0"
"936","tf-idf for can is 0"
"937","tf-idf for make is 0"
"938","tf-idf for any is 0"
"939","tf-idf for room is 0"
"940","tf-idf for feel is 0"
"941","tf-idf for more is 0"
"942","tf-idf for comfortable. is 0"
"943","tf-idf for Follow is 0"
"944","tf-idf for STAINMASTER® is 0"
"945","tf-idf for today! is 0"
"946","tf-idf for Do is 0"
"947","tf-idf for your is 0"
"948","tf-idf for feet is 0"
"949","tf-idf for favor is 0"
"950","tf-idf for this is 0"
"951","tf-idf for winter is 0"
"952","tf-idf for cover is 0"
"953","tf-idf for your is 0"
"954","tf-idf for home is 0"
"955","tf-idf for in is 0"
"956","tf-idf for STAINMASTER® is 0"
"957","tf-idf for carpet. is 0"
"958","tf-idf for To is 0"
"959","tf-idf for learn is 0"
"960","tf-idf for more, is 0"
"961","tf-idf for follow is 0"
"962","tf-idf for us is 0"
"963","tf-idf for today! is 0"
"964","tf-idf for Does is 0"
"965","tf-idf for your is 0"
"966","tf-idf for pet is 0"
"967","tf-idf for like is 0"
"968","tf-idf for doing is 0"
"969","tf-idf for pet is 0"
"970","tf-idf for things? is 0"
"971","tf-idf for #UnShameYourPet is 0"
"972","tf-idf for with is 0"
"973","tf-idf for PetProtect™ is 0"
"974","tf-idf for carpet is 0"
"975","tf-idf for follow is 0"
"976","tf-idf for STAINMASTER® is 0"
"977","tf-idf for today! is 0"
"978","tf-idf for Easy is 0"
"979","tf-idf for maintain is 0"
"980","tf-idf for withstands is 0"
"981","tf-idf for high is 0"
"982","tf-idf for traffic. is 0"
"983","tf-idf for Follow is 0"
"984","tf-idf for STAINMASTER® is 0"
"985","tf-idf for today is 0"
"986","tf-idf for if is 0"
"987","tf-idf for this is 0"
"988","tf-idf for is is 0"
"989","tf-idf for your is 0"
"990","tf-idf for ideal is 0"
"991","tf-idf for kind is 0"
"992","tf-idf for of is 0"
"993","tf-idf for carpet. is 0"
"994","tf-idf for Every is 0"
"995","tf-idf for home's is 0"
"996","tf-idf for comfort is 0"
"997","tf-idf for needs is 0"
"998","tf-idf for are is 0"
"999","tf-idf for unique. is 0"
"1000","tf-idf for Not is 0"
"1001","tf-idf for worry, is 0"
"1002","tf-idf for we is 0"
"1003","tf-idf for have is 0"
"1004","tf-idf for carpet is 0"
"1005","tf-idf for every is 0"
"1006","tf-idf for lifestyle. is 0"
"1007","tf-idf for Follow is 0"
"1008","tf-idf for us is 0"
"1009","tf-idf for today! is 0"
"1010","tf-idf for Find is 0"
"1011","tf-idf for ideal is 0"
"1012","tf-idf for carpet is 0"
"1013","tf-idf for your is 0"
"1014","tf-idf for lifestyle. is 0"
"1015","tf-idf for Download is 0"
"1016","tf-idf for Stainmaster's is 0"
"1017","tf-idf for SHOWRoom is 0"
"1018","tf-idf for app is 0"
"1019","tf-idf for your is 0"
"1020","tf-idf for iPad is 0"
"1021","tf-idf for today! is 0"
"1022","tf-idf for http://t.co/wOp4Z6dFCl is 0"
"1023","tf-idf for Follow is 0"
"1024","tf-idf for STAINMASTER® is 0"
"1025","tf-idf for see is 0"
"1026","tf-idf for why is 0"
"1027","tf-idf for carpet is 0"
"1028","tf-idf for is is 0"
"1029","tf-idf for perfect is 0"
"1030","tf-idf for solution is 0"
"1031","tf-idf for keep is 0"
"1032","tf-idf for your is 0"
"1033","tf-idf for home is 0"
"1034","tf-idf for warm is 0"
"1035","tf-idf for cozy is 0"
"1036","tf-idf for this is 0"
"1037","tf-idf for winter. is 0"
"1038","tf-idf for Follow is 0"
"1039","tf-idf for STAINMASTER® is 0"
"1040","tf-idf for if is 0"
"1041","tf-idf for you is 0"
"1042","tf-idf for plan is 0"
"1043","tf-idf for on is 0"
"1044","tf-idf for remodeling is 0"
"1045","tf-idf for your is 0"
"1046","tf-idf for floors. is 0"
"1047","tf-idf for We is 0"
"1048","tf-idf for have is 0"
"1049","tf-idf for perfect is 0"
"1050","tf-idf for carpet is 0"
"1051","tf-idf for solution is 0"
"1052","tf-idf for your is 0"
"1053","tf-idf for home. is 0"
"1054","tf-idf for Follow is 0"
"1055","tf-idf for STAINMASTER® is 0"
"1056","tf-idf for today is 0"
"1057","tf-idf for begin is 0"
"1058","tf-idf for unshaming is 0"
"1059","tf-idf for your is 0"
"1060","tf-idf for pet is 0"
"1061","tf-idf for with is 0"
"1062","tf-idf for STAINMASTER® is 0"
"1063","tf-idf for PetProtect™ is 0"
"1064","tf-idf for carpet.  is 0"
"1065","tf-idf for Follow is 0"
"1066","tf-idf for STAINMASTER® is 0"
"1067","tf-idf for today is 0"
"1068","tf-idf for find is 0"
"1069","tf-idf for perfect is 0"
"1070","tf-idf for carpet is 0"
"1071","tf-idf for solution is 0"
"1072","tf-idf for your is 0"
"1073","tf-idf for home. is 0"
"1074","tf-idf for Follow is 0"
"1075","tf-idf for STAINMASTER® is 0"
"1076","tf-idf for today is 0"
"1077","tf-idf for learn is 0"
"1078","tf-idf for why is 0"
"1079","tf-idf for carpet is 0"
"1080","tf-idf for is is 0"
"1081","tf-idf for best is 0"
"1082","tf-idf for flooring is 0"
"1083","tf-idf for solution is 0"
"1084","tf-idf for your is 0"
"1085","tf-idf for home. is 0"
"1086","tf-idf for Follow is 0"
"1087","tf-idf for STAINMASTER® is 0"
"1088","tf-idf for today is 0"
"1089","tf-idf for worry is 0"
"1090","tf-idf for less is 0"
"1091","tf-idf for about is 0"
"1092","tf-idf for your is 0"
"1093","tf-idf for pet's is 0"
"1094","tf-idf for mess is 0"
"1095","tf-idf for with is 0"
"1096","tf-idf for PetProtect™ is 0"
"1097","tf-idf for carpet. is 0"
"1098","tf-idf for Follow is 0"
"1099","tf-idf for us is 0"
"1100","tf-idf for learn is 0"
"1101","tf-idf for how is 0"
"1102","tf-idf for PetProtect™ is 0"
"1103","tf-idf for carpet is 0"
"1104","tf-idf for cushion is 0"
"1105","tf-idf for system is 0"
"1106","tf-idf for resists is 0"
"1107","tf-idf for pet is 0"
"1108","tf-idf for stains is 0"
"1109","tf-idf for helps is 0"
"1110","tf-idf for reduce is 0"
"1111","tf-idf for pet is 0"
"1112","tf-idf for odor. is 0"
"1113","tf-idf for Follow is 0"
"1114","tf-idf for us is 0"
"1115","tf-idf for today is 0"
"1116","tf-idf for worry is 0"
"1117","tf-idf for less is 0"
"1118","tf-idf for about is 0"
"1119","tf-idf for pet is 0"
"1120","tf-idf for stains is 0"
"1121","tf-idf for with is 0"
"1122","tf-idf for our is 0"
"1123","tf-idf for PetProtect™ is 0"
"1124","tf-idf for carpet is 0"
"1125","tf-idf for cushion is 0"
"1126","tf-idf for system. is 0"
"1127","tf-idf for High is 0"
"1128","tf-idf for traffic, is 0"
"1129","tf-idf for children is 0"
"1130","tf-idf for pets? is 0"
"1131","tf-idf for  is 0"
"1132","tf-idf for STAINMASTER® is 0"
"1133","tf-idf for Active is 0"
"1134","tf-idf for Family™ is 0"
"1135","tf-idf for carpet is 0"
"1136","tf-idf for is is 0"
"1137","tf-idf for easy is 0"
"1138","tf-idf for clean. is 0"
"1139","tf-idf for Follow is 0"
"1140","tf-idf for us is 0"
"1141","tf-idf for today! is 0"
"1142","tf-idf for Is is 0"
"1143","tf-idf for your is 0"
"1144","tf-idf for kitty is 0"
"1145","tf-idf for original is 0"
"1146","tf-idf for smelly is 0"
"1147","tf-idf for cat? is 0"
"1148","tf-idf for Learn is 0"
"1149","tf-idf for how is 0"
"1150","tf-idf for we is 0"
"1151","tf-idf for can is 0"
"1152","tf-idf for help is 0"
"1153","tf-idf for #UnShameYourPet. is 0"
"1154","tf-idf for http://t.co/ZQ0xRf1rHu is 0"
"1155","tf-idf for http://t.co/FtEcQYSm8x is 0"
"1156","tf-idf for Is is 0"
"1157","tf-idf for your is 0"
"1158","tf-idf for pet is 0"
"1159","tf-idf for is is 0"
"1160","tf-idf for still is 0"
"1161","tf-idf for working is 0"
"1162","tf-idf for on is 0"
"1163","tf-idf for his is 0"
"1164","tf-idf for New is 0"
"1165","tf-idf for Year is 0"
"1166","tf-idf for resolutions? is 0"
"1167","tf-idf for http://t.co/YeXj5yUtro is 0"
"1168","tf-idf for #UnShameYourPet is 0"
"1169","tf-idf for http://t.co/W87A6babZi is 0"
"1170","tf-idf for Let is 0"
"1171","tf-idf for us is 0"
"1172","tf-idf for show is 0"
"1173","tf-idf for you is 0"
"1174","tf-idf for how is 0"
"1175","tf-idf for STAINMASTER® is 0"
"1176","tf-idf for PetProtect™ is 0"
"1177","tf-idf for carpet is 0"
"1178","tf-idf for system is 0"
"1179","tf-idf for can is 0"
"1180","tf-idf for help is 0"
"1181","tf-idf for #UnShameYourPet. is 0"
"1182","tf-idf for http://t.co/ZQ0xRf1rHu is 0"
"1183","tf-idf for http://t.co/5u4S92jvru is 0"
"1184","tf-idf for Ruh, is 0"
"1185","tf-idf for roh! is 0"
"1186","tf-idf for  is 0"
"1187","tf-idf for #UnShameYourPet is 0"
"1188","tf-idf for from is 0"
"1189","tf-idf for occasional is 0"
"1190","tf-idf for accidents is 0"
"1191","tf-idf for with is 0"
"1192","tf-idf for STAINMASTER® is 0"
"1193","tf-idf for PetProtect™ is 0"
"1194","tf-idf for carpet. is 0"
"1195","tf-idf for http://t.co/YeXj5yUtro is 0"
"1196","tf-idf for http://t.co/lz0B9BP6b2 is 0"
"1197","tf-idf for STAINMASTER® is 0"
"1198","tf-idf for PetProtect™ is 0"
"1199","tf-idf for carpet is 0"
"1200","tf-idf for cushion is 0"
"1201","tf-idf for system is 0"
"1202","tf-idf for is is 0"
"1203","tf-idf for now is 0"
"1204","tf-idf for available is 0"
"1205","tf-idf for @Lowes. is 0"
"1206","tf-idf for Find is 0"
"1207","tf-idf for store is 0"
"1208","tf-idf for near is 0"
"1209","tf-idf for you is 0"
"1210","tf-idf for ask is 0"
"1211","tf-idf for how is 0"
"1212","tf-idf for it is 0"
"1213","tf-idf for can is 0"
"1214","tf-idf for help is 0"
"1215","tf-idf for #UnShameYourPet. is 0"
"1216","tf-idf for STAINMASTER® is 0"
"1217","tf-idf for carpet is 0"
"1218","tf-idf for is is 0"
"1219","tf-idf for perfect is 0"
"1220","tf-idf for every is 0"
"1221","tf-idf for lifestyle. is 0"
"1222","tf-idf for Follow is 0"
"1223","tf-idf for us is 0"
"1224","tf-idf for today! is 0"
"1225","tf-idf for STAINMASTER® is 0"
"1226","tf-idf for carpet is 0"
"1227","tf-idf for stands is 0"
"1228","tf-idf for up is 0"
"1229","tf-idf for high is 0"
"1230","tf-idf for traffic. is 0"
"1231","tf-idf for Follow is 0"
"1232","tf-idf for us is 0"
"1233","tf-idf for perfect is 0"
"1234","tf-idf for carpeting is 0"
"1235","tf-idf for solutions is 0"
"1236","tf-idf for an is 0"
"1237","tf-idf for active is 0"
"1238","tf-idf for household. is 0"
"1239","tf-idf for We is 0"
"1240","tf-idf for love is 0"
"1241","tf-idf for @Pantone's is 0"
"1242","tf-idf for 2014 is 0"
"1243","tf-idf for Color is 0"
"1244","tf-idf for of is 0"
"1245","tf-idf for Year, is 0"
"1246","tf-idf for radiant is 0"
"1247","tf-idf for orchid! is 0"
"1248","tf-idf for Find is 0"
"1249","tf-idf for perfect is 0"
"1250","tf-idf for carpet is 0"
"1251","tf-idf for match is 0"
"1252","tf-idf for here: is 0"
"1253","tf-idf for http://t.co/WnXa3KDF3i is 0"
"1254","tf-idf for We're is 0"
"1255","tf-idf for pretty is 0"
"1256","tf-idf for sure is 0"
"1257","tf-idf for this is 0"
"1258","tf-idf for pup is 0"
"1259","tf-idf for will is 0"
"1260","tf-idf for be is 0"
"1261","tf-idf for tuning is 0"
"1262","tf-idf for into is 0"
"1263","tf-idf for @WKCDOGS is 0"
"1264","tf-idf for on is 0"
"1265","tf-idf for February is 0"
"1266","tf-idf for 10-11, is 0"
"1267","tf-idf for will is 0"
"1268","tf-idf for you? is 0"
"1269","tf-idf for :-P is 0"
"1270","tf-idf for #dogs is 0"
"1271","tf-idf for #pups is 0"
"1272","tf-idf for http://t.co/iQFtA9GtQA is 0"
"1273","tf-idf for Whether is 0"
"1274","tf-idf for you is 0"
"1275","tf-idf for need is 0"
"1276","tf-idf for carpet is 0"
"1277","tf-idf for that is 0"
"1278","tf-idf for is is 0"
"1279","tf-idf for durable is 0"
"1280","tf-idf for or is 0"
"1281","tf-idf for soft, is 0"
"1282","tf-idf for STAINMASTER® is 0"
"1283","tf-idf for carpet is 0"
"1284","tf-idf for has is 0"
"1285","tf-idf for you is 0"
"1286","tf-idf for covered. is 0"
"1287","tf-idf for Follow is 0"
"1288","tf-idf for us is 0"
"1289","tf-idf for learn is 0"
"1290","tf-idf for more! is 0"
"1291","tf-idf for Whether is 0"
"1292","tf-idf for you is 0"
"1293","tf-idf for need is 0"
"1294","tf-idf for carpet is 0"
"1295","tf-idf for that is 0"
"1296","tf-idf for is is 0"
"1297","tf-idf for durable is 0"
"1298","tf-idf for or is 0"
"1299","tf-idf for soft, is 0"
"1300","tf-idf for STAINMASTER® is 0"
"1301","tf-idf for carpet is 0"
"1302","tf-idf for has is 0"
"1303","tf-idf for you is 0"
"1304","tf-idf for covered. is 0"
"1305","tf-idf for Follow is 0"
"1306","tf-idf for us is 0"
"1307","tf-idf for today! is 0"
"1308","tf-idf for Answer is 0"
"1309","tf-idf for chance is 0"
"1310","tf-idf for 2 is 0"
"1311","tf-idf for win is 0"
"1312","tf-idf for case is 0"
"1313","tf-idf for of is 0"
"1314","tf-idf for yogurt! is 0"
"1315","tf-idf for Which is 0"
"1316","tf-idf for new is 0"
"1317","tf-idf for flavor is 0"
"1318","tf-idf for of is 0"
"1319","tf-idf for #StonyfieldGreek is 0"
"1320","tf-idf for do is 0"
"1321","tf-idf for you is 0"
"1322","tf-idf for most is 0"
"1323","tf-idf for want is 0"
"1324","tf-idf for try? is 0"
"1325","tf-idf for http://t.co/vuajXVE7T5 is 0"
"1326","tf-idf for Answer is 0"
"1327","tf-idf for chance is 0"
"1328","tf-idf for 2 is 0"
"1329","tf-idf for win is 0"
"1330","tf-idf for case! is 0"
"1331","tf-idf for What’s is 0"
"1332","tf-idf for your is 0"
"1333","tf-idf for favorite is 0"
"1334","tf-idf for savory is 0"
"1335","tf-idf for mix is 0"
"1336","tf-idf for in? is 0"
"1337","tf-idf for Cucumber? is 0"
"1338","tf-idf for Mint? is 0"
"1339","tf-idf for Other? is 0"
"1340","tf-idf for #StonyfieldGreek is 0"
"1341","tf-idf for http://t.co/2MJmBRZNFN is 0"
"1342","tf-idf for Chocolate is 0"
"1343","tf-idf for or is 0"
"1344","tf-idf for Caramel? is 0"
"1345","tf-idf for What’s is 0"
"1346","tf-idf for your is 0"
"1347","tf-idf for #StonyfieldGreek is 0"
"1348","tf-idf for dessert is 0"
"1349","tf-idf for choice? is 0"
"1350","tf-idf for Answer is 0"
"1351","tf-idf for win is 0"
"1352","tf-idf for case! is 0"
"1353","tf-idf for http://t.co/nsekZ1rQtH is 0"
"1354","tf-idf for We'll is 0"
"1355","tf-idf for announce is 0"
"1356","tf-idf for one is 0"
"1357","tf-idf for winner is 0"
"1358","tf-idf for each is 0"
"1359","tf-idf for day. is 0"
"1360","tf-idf for Thx is 0"
"1361","tf-idf for everyone is 0"
"1362","tf-idf for answering is 0"
"1363","tf-idf for today's is 0"
"1364","tf-idf for so is 0"
"1365","tf-idf for far! is 0"
"1366","tf-idf for #stonyfieldgreek is 0"
"1367","tf-idf for Which is 0"
"1368","tf-idf for flavor is 0"
"1369","tf-idf for try?http://t.co/vuajXVE7T5 is 0"
"1370","tf-idf for Idina is 0"
"1371","tf-idf for Menzel is 0"
"1372","tf-idf for will, is 0"
"1373","tf-idf for 1st is 0"
"1374","tf-idf for time, is 0"
"1375","tf-idf for perform is 0"
"1376","tf-idf for Oscar-nominated is 0"
"1377","tf-idf for song is 0"
"1378","tf-idf for “Let is 0"
"1379","tf-idf for it is 0"
"1380","tf-idf for Go” is 0"
"1381","tf-idf for global is 0"
"1382","tf-idf for audience is 0"
"1383","tf-idf for Oscars is 0"
"1384","tf-idf for http://t.co/HTFcNCs5mU is 0"
"1385","tf-idf for Oh is 0"
"1386","tf-idf for Yeah! is 0"
"1387","tf-idf for Karen is 0"
"1388","tf-idf for O is 0"
"1389","tf-idf for will, is 0"
"1390","tf-idf for first is 0"
"1391","tf-idf for time, is 0"
"1392","tf-idf for perform is 0"
"1393","tf-idf for “The is 0"
"1394","tf-idf for Moon is 0"
"1395","tf-idf for Song” is 0"
"1396","tf-idf for global is 0"
"1397","tf-idf for tv is 0"
"1398","tf-idf for audience is 0"
"1399","tf-idf for on is 0"
"1400","tf-idf for #Oscars is 0"
"1401","tf-idf for http://t.co/U0ZHm0CPKc is 0"
"1402","tf-idf for Pharrell is 0"
"1403","tf-idf for Williams is 0"
"1404","tf-idf for perform is 0"
"1405","tf-idf for his is 0"
"1406","tf-idf for Oscar-nominated is 0"
"1407","tf-idf for song is 0"
"1408","tf-idf for “Happy” is 0"
"1409","tf-idf for Academy is 0"
"1410","tf-idf for Awards is 0"
"1411","tf-idf for presentation is 0"
"1412","tf-idf for on is 0"
"1413","tf-idf for March is 0"
"1414","tf-idf for 2nd: is 0"
"1415","tf-idf for  is 0"
"1416","tf-idf for http://t.co/GuBXP8wIMU is 0"
"1417","tf-idf for U2 is 0"
"1418","tf-idf for perform is 0"
"1419","tf-idf for their is 0"
"1420","tf-idf for Oscar-nominated is 0"
"1421","tf-idf for song, is 0"
"1422","tf-idf for “Ordinary is 0"
"1423","tf-idf for Love”, is 0"
"1424","tf-idf for live is 0"
"1425","tf-idf for first is 0"
"1426","tf-idf for time is 0"
"1427","tf-idf for ever is 0"
"1428","tf-idf for Oscars is 0"
"1429","tf-idf for on is 0"
"1430","tf-idf for March is 0"
"1431","tf-idf for 2nd is 0"
"1432","tf-idf for  is 0"
"1433","tf-idf for http://t.co/LNf7aCpE9Y is 0"
